TIMESTAMP_START,TIMESTAMP_END,FC,H,LE,PA_1_1_1,RH_1_1_1,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,VPD_1_1_1,P_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SWC_1_1_1,TS_1_1_1,USTAR,WD_1_1_1,WS_1_1_1,NEE_PI_JSZ,NEE_PI_JSZ_MAD,LE_PI_JSZ,LE_PI_JSZ_MAD,H_PI_JSZ,H_PI_JSZ_MAD
202101010000,202101010030,0.845147013664246,-22.398509979248,-6.00513219833374,94.0306701660156,93.1585235595703,2.34341502189636,0.163401395082474,1.43847799301147,0.46580308675766,0,-45.4405403137207,0.0619162395596504,0.0297197941690683,-9999,-9999,0.289422214031219,84.2302169799805,4.35577583312988,0.845147013664246,0.845147013664246,-6.00513219833374,-6.00513219833374,-22.398509979248,-22.398509979248
202101010030,202101010100,0.646264970302582,-15.0391702651978,-2.95706701278687,94.0363235473633,93.3536071777344,2.33148097991943,0.135898306965828,1.46082305908203,0.453195601701736,0,-32.2684593200684,0.0584900192916393,0.0280752088874578,-9999,-9999,0.242610797286034,83.0668334960938,3.77115392684937,0.646264970302582,0.646264970302582,-2.95706701278687,-2.95706701278687,-15.0391702651978,-15.0391702651978
202101010100,202101010130,0.670799016952515,-21.5216197967529,-6.13045978546143,94.0496673583984,92.4053268432617,2.24411010742188,0.160316899418831,1.39044797420502,0.515217185020447,0,-48.6695594787598,0.060546088963747,0.0290621221065521,-9999,-9999,0.274319708347321,91.492073059082,3.97581911087036,0.670799016952515,0.670799016952515,-6.13045978546143,-6.13045978546143,-21.5216197967529,-21.5216197967529
202101010130,202101010200,0.743556976318359,-20.3817100524902,-4.30329084396362,94.064208984375,92.5598373413086,2.18494701385498,0.138359799981117,1.3489990234375,0.503289103507996,0,-33.3983917236328,0.0660307928919792,0.0316947810351849,-9999,-9999,0.31939971446991,91.2540893554688,4.32502603530884,0.743556976318359,0.743556976318359,-4.30329084396362,-4.30329084396362,-20.3817100524902,-20.3817100524902
202101010200,202101010230,0.861422002315521,-22.4767894744873,-3.0752170085907,94.0605392456055,91.1675796508789,2.38596510887146,0.133170902729034,1.57748198509216,0.607330203056335,0,-33.9334716796875,0.0680872797966003,0.0326818935573101,-9999,-9999,0.351689487695694,89.489990234375,4.97542715072632,0.861422002315521,-9999,-3.0752170085907,-3.0752170085907,-22.4767894744873,-22.4767894744873
202101010230,202101010300,-2.48962998390198,-66.4801330566406,-7.45290803909302,94.0411911010742,90.837287902832,2.26178097724915,0.395793110132217,1.26554298400879,0.616093277931213,0,-53.3506202697754,0.0584904998540878,0.0280754398554564,-9999,-9999,0.283167898654938,87.63427734375,4.58693695068359,-2.48962998390198,-9999,-7.45290803909302,-7.45290803909302,-66.4801330566406,-9999
202101010300,202101010330,0.832522988319397,-28.5129508972168,-6.94982099533081,93.9957962036133,89.7471618652344,2.02238297462463,0.156111806631088,1.23745000362396,0.687910318374634,0,-56.7817916870117,0.0626043081283569,0.0300500672310591,-9999,-9999,0.359922587871552,89.9575500488281,5.56309700012207,0.832522988319397,-9999,-6.94982099533081,-6.94982099533081,-28.5129508972168,-28.5129508972168
202101010330,202101010400,0.886767029762268,-31.4952297210693,-5.94232606887817,93.9776916503906,89.0470199584961,1.96127998828888,0.15706479549408,1.18011295795441,0.731878876686096,0,-52.6762809753418,0.0598632209002972,0.0287343468517065,-9999,-9999,0.389098614454269,90.3103866577148,5.30581521987915,0.886767029762268,0.886767029762268,-5.94232606887817,-5.94232606887817,-31.4952297210693,-31.4952297210693
202101010400,202101010430,0.847028970718384,-30.9895896911621,-6.37296104431152,93.9669189453125,88.221809387207,1.82088494300842,0.170244693756104,1.05833101272583,0.780071616172791,0,-57.1261291503906,0.0575787909328938,0.0276378188282251,-9999,-9999,0.369833111763,93.9333801269531,5.39197301864624,0.847028970718384,0.847028970718384,-6.37296104431152,-6.37296104431152,-30.9895896911621,-30.9895896911621
202101010430,202101010500,0.9303839802742,-33.1914405822754,-4.51961898803711,93.9375228881836,87.0882110595703,1.80460298061371,0.196641802787781,1.02963197231293,0.853812694549561,0,-52.9850807189941,0.0660333633422852,0.0316960141062737,-9999,-9999,0.390060603618622,95.2696762084961,5.15555477142334,0.9303839802742,0.9303839802742,-4.51961898803711,-4.51961898803711,-33.1914405822754,-33.1914405822754
202101010500,202101010530,0.937843024730682,-35.5105018615723,-1.85027503967285,93.9052734375,85.3672409057617,1.92802202701569,0.236974105238914,1.17739796638489,0.977943480014801,0,-59.3694190979004,0.065347857773304,0.0313669703900814,-9999,-9999,0.439586788415909,94.3977966308594,5.99170112609863,0.937843024730682,0.937843024730682,-1.85027503967285,-1.85027503967285,-35.5105018615723,-35.5105018615723
202101010530,202101010600,0.826586008071899,-24.3048191070557,2.23954296112061,93.8964385986328,85.8314666748047,1.89923703670502,0.141754806041718,1.12576305866241,0.94299727678299,0,-38.9026908874512,0.0696884319186211,0.0334504470229149,-9999,-9999,0.427923500537872,93.7098999023438,5.6948938369751,0.826586008071899,0.826586008071899,2.23954296112061,2.23954296112061,-24.3048191070557,-24.3048191070557
202101010600,202101010630,0.842040002346039,-19.776029586792,4.35526990890503,93.8762435913086,86.2046890258789,2.07539200782776,0.107728600502014,1.29792499542236,0.929660201072693,0,-31.7859592437744,0.0690023899078369,0.033121146261692,-9999,-9999,0.413083612918854,95.2456436157227,5.89238309860229,0.842040002346039,0.842040002346039,4.35526990890503,4.35526990890503,-19.776029586792,-19.776029586792
202101010630,202101010700,0.866273999214172,-23.7194004058838,4.53662300109863,93.8408813476562,85.3230133056641,2.09899401664734,0.10664290189743,1.33050894737244,0.991307497024536,0,-40.6970405578613,0.0751702636480331,0.0360817275941372,-9999,-9999,0.463363707065582,94.9418334960938,6.4045581817627,0.866273999214172,0.866273999214172,4.53662300109863,4.53662300109863,-23.7194004058838,-23.7194004058838
202101010700,202101010730,0.727608025074005,-21.1895999908447,6.90054798126221,93.8287963867188,84.1731567382812,2.04887294769287,0.111805103719234,1.29329001903534,1.06610500812531,0,-40.9598388671875,2.74241399765015,1.31635868549347,-9999,-9999,0.437064588069916,99.9481811523438,6.15835809707642,0.727608025074005,0.727608025074005,6.90054798126221,6.90054798126221,-21.1895999908447,-21.1895999908447
202101010730,202101010800,0.698225021362305,-17.6354007720947,7.7355170249939,93.824592590332,83.4140014648438,2.01567006111145,0.0927795767784119,1.29376602172852,1.11734700202942,0,-34.7124900817871,32.9643402099609,15.822883605957,-9999,-9999,0.413906395435333,96.0447998046875,5.79050397872925,0.698225021362305,0.698225021362305,7.7355170249939,7.7355170249939,-17.6354007720947,-17.6354007720947
202101010800,202101010830,0.853859007358551,-21.8086490631104,9.30124473571777,93.8110427856445,82.3686828613281,2.14955806732178,0.116955697536469,1.42044603824615,1.19886004924774,0,-38.1202812194824,80.8345336914062,38.8005752563477,-9999,-9999,0.458779513835907,92.6705017089844,6.31862306594849,0.853859007358551,0.853859007358551,9.30124473571777,9.30124473571777,-21.8086490631104,-21.8086490631104
